comparison_key,experiment,controller_variant,controller,solver,bend_deg,jacobian_contact,plant_contact,rollout_steps,Np,frame,progress,progress_available,first_applied_tracking_error_m,first_nonlinear_tracking_error_m,first_linear_tracking_error_m,first_linearisation_error_m,terminal_linearisation_error_m,max_linearisation_error_m,mean_linearisation_error_m,max_B_drift_relative,mean_B_drift_relative,max_B_change_from_stage0_relative,source_command_utilization_l2,source_command_utilization_max,dL_command_utilization_abs,source_contribution_sum_m,source_net_contribution_m,dL_contribution_m,source_scaled_authority_mean_m,dL_scaled_authority_m,normalized_command_change_l2
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,0,0.013737373737374261,True,0.0002374641656259501,,0.00023745910933324648,,,,,0.0,0.0,0.0,0.025617039503963202,0.022302839106405046,0.1,2.1743505758910544e-06,2.075845053626395e-06,0.0005001329255455605,4.058133833957964e-05,0.005001329255455603,
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,1,0.014545454545455134,True,0.003361795478920427,,0.0033617930368032233,,,,,0.0,0.0,0.0,0.026805224858591617,0.02539594419112343,0.02,2.97884977030503e-06,2.17828033902595e-06,0.00010026620184644122,9.408808427468353e-05,0.0050133100923220614,0.12438975226432715
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,2,0.015757575757576442,True,0.0011555463794795104,,0.0011555731143661598,,,,,0.0,0.0,0.0,0.024171120599524244,0.0200267029952211,0.02,4.1001126156704135e-06,3.058003201379728e-06,0.00010016454204509872,7.460053923238171e-05,0.005008227102254936,0.009120128266444462
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,3,0.0165656565656572,True,0.0004317055356477199,,0.00043163298396187546,,,,,0.0,0.0,0.0,0.0025138126109861118,0.001723273332543241,0.03258593136002293,5.222252171499134e-07,4.17614063593254e-07,0.00016315864457827712,6.9954068334964e-05,0.005007027197585134,0.0589244737326902
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,4,0.017777777777778503,True,0.000294578291114497,,0.0002945722763439422,,,,,0.0,0.0,0.0,0.001573133457696188,0.0012853909521965544,0.005138346527733577,3.2414907070246593e-07,2.5428156555251995e-07,2.5756457861936033e-05,8.938070783015084e-05,0.005012596508024284,0.02774600672570344
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,5,0.01858585858585937,True,0.0006645639535938536,,0.0006640416204007996,,,,,0.0,0.0,0.0,0.00010927307294741256,9.856520835370562e-05,0.022057735998165205,1.541180195012993e-08,1.130149602428986e-08,0.00011052257910137565,7.942656839475856e-05,0.005010603949134629,0.016982787009221758
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,6,0.01939393939394013,True,0.0005484755392103702,,0.0005484577730825905,,,,,0.0,0.0,0.0,0.00024750967242841723,0.0002087505832413482,0.00975801571371943,5.679092911379418e-08,4.5386048196164316e-08,4.897822889271344e-05,0.00010739126052205681,0.005019281617250499,0.012304861069714798
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,7,0.020202020078144416,True,0.0008090793326678984,,0.0008085874333515681,,,,,0.0,0.0,0.0,0.00017179135831286746,0.00016178681715697202,0.01543457221788712,2.4379443539837842e-08,1.772172748570707e-08,7.744763307316081e-05,0.00010006671187639929,0.00501780237118634,0.005691788455514101
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,8,0.021010069885121038,True,0.0009291194605565007,,0.000928855794853867,,,,,0.0,0.0,0.0,0.014007671453454128,0.012710351352654624,0.00853495458187751,2.8326060596050507e-06,2.19123181984572e-06,4.288235295333343e-05,0.00011720991050078278,0.0050243211656201,0.015461915527408878
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,9,0.02141407059843531,True,0.0009804873159358757,,0.000980475511497026,,,,,0.0,0.0,0.0,0.018416428261073384,0.0164534487063412,0.005296216505024886,4.407611665900924e-06,3.478152991309923e-06,2.6644334055304646e-05,0.000131935481784609,0.005030824179869786,0.005515393918974386
